     Time	  Accel	     IntAccel	     SG1	   SG2	      SG3	       
    9.499000     5.491738    84.638262     3.900684     1.288644 -10.12404870 
    9.500000     4.545488    93.834262     1.398684    -0.899556  -7.93314870 
    9.501000     2.652978    93.834262    -3.604316    -7.151456  -8.87214870 
    9.502000     4.545488    86.477262    -7.669316    -4.025556  -6.36824870 
    9.503000     4.545488    84.638262    -4.229316    -1.524756  -4.80334870 
    9.504000     4.545488    79.120262    -1.728316     5.039744  -5.42924870 
    9.505000     1.706728    77.280262    -1.102316     4.101944  -5.42924870 
    9.506000     8.330498    84.638262    -4.542316    -0.899556  -2.61234870 
    9.507000    11.169248    86.477262   -12.985316    -3.400356  -6.68124870 
    9.508000     9.276748    79.120262   -11.109316     1.913844  -4.49034870 
    9.509000     3.599228    69.923262    -2.978316    10.353944   0.20445130 
    9.510000     2.652978    68.084262     5.151684    10.666544  -1.04744870 
    9.511000    -3.024542    73.602262     7.653684    -2.775156  -5.74224870 
    9.512000    -6.809582    66.244262     9.529684   -10.276956  -5.42924870 
    9.513000     3.599228    66.244262     7.340684    -4.338156  -1.04744870 
    9.514000    18.739318    60.726262    -0.164316     2.226444  -1.04744870 
    9.515000    21.578018    55.208562    -3.291316     1.913844  -5.74224870 
    9.516000    14.008008    57.047962    -1.415316    -0.586956 -10.75004870 
    9.517000     2.652978    64.405262     6.089684    -0.274356  -4.17734870 
    9.518000    -3.970782    73.602262     8.903684    -0.586956  -0.42144870 
    9.519000    -2.078282    71.762262    10.467684    -6.838856  -5.74224870 
    9.520000     2.652978    68.084262     9.216684    -8.401856  -2.61234870 
    9.521000     8.330498    60.726262     7.027684    -4.963356   3.64735130 
    9.522000     2.652978    58.887262     7.965684    -9.027056   1.76945130 
    9.523000     3.599228    57.047962     7.653684   -10.902956  -2.29944870 
    9.524000    11.169248    58.887262     5.776684    -5.275956   0.20445130 
    9.525000    12.115508    57.047962     1.086684    -2.149956  -2.61234870 
    9.526000    12.115508    55.208562    -3.604316    -4.963356  -6.68124870 
    9.527000     2.652978    51.529962    -8.294316     4.101944 -10.43704870 
    9.528000     1.706728    57.047962    -2.353316     9.416144 -12.94094870 
    9.529000     4.545488    58.887262     4.213684     5.039744 -11.06304870 
    9.530000     6.437989    47.851262     0.460684     5.664944  -4.80334870 
    9.531000    13.061758    44.172662     0.773684     6.602744  -2.29944870 
    9.532000    14.954258    38.654662     7.653684     6.290144  -6.68124870 
    9.533000    12.115508    38.654662     4.526684     3.476844 -11.37604870 
    9.534000     6.437989    40.493962     1.711684     3.789344  -1.04744870 
    9.535000     8.330498    42.333362     7.965684     1.288644  13.66295130 
    9.536000     6.437989    49.690662    15.158684     2.226444  16.47985130 
    9.537000     2.652978    47.851262    11.718684     1.288644   5.52525130 
    9.538000    -1.132032    34.976062    10.780684    -4.025556   1.76945130 
    9.539000    -5.863282    23.940062     8.591684    -4.338156   2.39535130 
    9.540000     0.760478    25.779362     8.591684    -2.149956  -0.42144870 
    9.541000    10.222998    31.297362     4.213684    -1.837356  -1.36044870 
    9.542000    16.846818    31.297362    -3.291316    -7.776656   1.45645130 
    9.543000    13.061758    27.618662    -1.728316    -1.212156  -1.04744870 
    9.544000     5.491738    27.618662     2.962684     9.416144 -12.31494870 
    9.545000    -0.185782    34.976062     2.337684    12.542144 -12.94094870 
    9.546000     0.760478    40.493962     1.086684    12.229544  -6.36824870 
    9.547000     0.760478    46.011962    -3.604316    10.041344   0.51745130 
    9.548000     7.384242    38.654662    -5.480316    12.542144   7.71615130 
    9.549000    18.739318    34.976062    -5.167316    11.604344  10.84605130 
    9.550000    20.631818    40.493962    -1.415316    -2.775156  10.22005130 
    9.551000    21.578018    34.976062    -0.477316    -8.714456  12.09795130 
    9.552000    11.169248    38.654662     0.773684    -7.464056   2.08245130 
    9.553000     7.384242    42.333362     0.460684     0.976044  -8.87214870 
    9.554000     3.599228    31.297362    -1.415316     9.728744 -10.43704870 
    9.555000     4.545488    25.779362     1.711684     8.165744  -9.81104870 
    9.556000     8.330498    31.297362     3.275684     4.414544 -11.68904870 
    9.557000    15.900518    42.333362     6.714684    -1.524756 -17.00974870 
    9.558000    15.900518    33.136662     9.842684    -4.650756 -16.07084870 
    9.559000    13.061758    25.779362     7.965684    -4.650756 -10.12404870 
    9.560000    14.008008    22.100762     5.464684    -0.899556   1.45645130 
    9.561000    12.115508    33.136662    -1.102316     8.165744   0.20445130 
    9.562000     9.276748    44.172662    -5.793316     8.165744  -6.36824870 
    9.563000    15.900518    57.047962    -7.669316    -3.400356 -13.25394870 
    9.564000    17.793018    49.690662    -7.669316   -14.028956 -12.94094870 
    9.565000    14.954258    36.815362    -0.789316    -9.964956  -8.55914870 
    9.566000     8.330498    33.136662     6.402684    -0.586956   0.20445130 
    9.567000     0.760478    34.976062     9.216684     2.226444   6.15125130 
    9.568000     4.545488    42.333362     7.027684     0.350844   3.33435130 
    9.569000    10.222998    42.333362     4.526684     1.288644  -2.29944870 
    9.570000    14.008008    42.333362     4.213684    -0.274356  -5.42924870 
    9.571000    14.954258    36.815362     6.714684     3.164244  -3.55134870 
    9.572000     9.276748    42.333362     4.526684     4.727144  -1.67344870 
    9.573000     5.491738    57.047962    -2.666316     5.664944  -0.42144870 
    9.574000     2.652978    64.405262   -10.483316     9.728744  -1.04744870 
    9.575000     7.384242    47.851262    -6.418316     2.851644  -0.42144870 
    9.576000    12.115508    40.493962    -3.604316    -0.586956  -1.36044870 
    9.577000    15.900518    40.493962     2.024684     3.476844  -0.10854870 
    9.578000    14.954258    46.011962     3.587684     3.476844   3.64735130 
    9.579000    10.222998    51.529962     7.965684    -3.087756   2.08245130 
    9.580000    14.008008    47.851262     7.027684    -2.149956  -1.36044870 
    9.581000    15.900518    40.493962     5.151684    11.604344  -0.73444870 
    9.582000    12.115508    42.333362    -0.164316    19.106644  -5.11624870 
    9.583000     4.545488    40.493962    -3.917316     7.853144   1.76945130 
    9.584000     7.384242    38.654662    -3.604316     0.350844   8.34215130 
