     Time	  Accel	     IntAccel	     SG1	   SG2	      SG3	       
    9.499000     9.153420   -35.727266    10.392021     1.253821   1.41609280 
    9.500000    10.099671   -30.209266    -5.868679     8.756121   4.85889280 
    9.501000    11.045924   -26.531266   -22.754779    11.569521   8.61479280 
    9.502000     8.207170   -28.370266   -19.315079     8.756121   5.17189280 
    9.503000     4.422160   -33.888266    -3.992379     7.193121   1.72909280 
    9.504000     7.260910   -30.209266    -2.116179     4.379721  -2.65280720 
    9.505000    -0.309100   -30.209266    -8.370279    -0.309179   1.41609280 
    9.506000    -2.201600   -30.209266    -7.119479     1.879021   2.98099280 
    9.507000    -1.255400   -22.852266     0.385421    -2.184879   1.72909280 
    9.508000     6.314660   -28.370266    -0.552679    -5.935879   8.92779280 
    9.509000     9.153420   -28.370266    -5.243279   -12.187879  17.69139280 
    9.510000    11.045924   -30.209266    -0.239979    -3.747879  16.43939280 
    9.511000    15.777190   -19.173266     6.639621     6.567921  10.49269280 
    9.512000    23.347200   -13.655266     8.828521     8.756121  12.68359280 
    9.513000    36.594700   -19.173266     9.141221     8.443521  12.68359280 
    9.514000    47.003500   -21.013266    10.704721    -0.621879   8.61479280 
    9.515000    56.466100   -26.531266     9.453921    -4.372879   1.41609280 
    9.516000    60.251100   -39.406266    -1.803479    -1.871879   1.72909280 
    9.517000    67.821100   -44.924266   -10.246579     4.067121  -2.65280720 
    9.518000    80.122400   -46.763266   -12.748179     4.692321  -7.03460720 
    9.519000    98.101200   -35.727266    -6.806779    -3.747879 -11.72940720 
    9.520000   109.456200   -24.691266    -2.116179   -12.500879  -7.66060720 
    9.521000   109.456200   -21.013266     0.698121   -14.063879  -3.27870720 
    9.522000   105.671200   -28.370266     3.512521   -11.874879  -3.27870720 
    9.523000   106.617400   -32.049266     0.698121     2.504221 -12.04240720 
    9.524000   118.918400   -39.406266     0.072721    13.132421 -15.48520720 
    9.525000   124.596400   -30.209266     5.076021     6.567921  -8.91250720 
    9.526000   129.327400   -24.691266     6.326921    -3.747879   1.41609280 
    9.527000   134.058400   -30.209266     3.825221    -4.372879  -2.96580720 
    9.528000   142.575400   -30.209266     6.639621    -3.122879 -13.92030720 
    9.529000   147.306400   -28.370266     5.076021     3.442021 -14.85930720 
    9.530000   150.145400   -26.531266     1.010921     6.880521 -12.98130720 
    9.531000   151.091400   -33.888266    -1.803479     5.630121  -7.97350720 
    9.532000   155.822400   -30.209266    -4.930579     6.880521  -3.27870720 
    9.533000   154.876400   -28.370266    -3.992379     2.504221   4.54589280 
    9.534000   152.037400   -35.727266    -3.679679     3.754621   4.23289280 
    9.535000   155.822400   -32.049266    -4.617879     6.567921  -4.84370720 
    9.536000   159.607400   -32.049266    -0.865379     8.756121 -10.47740720 
    9.537000   153.930400   -32.049266     1.323621    10.006521  -8.28650720 
    9.538000   148.252400   -30.209266    -1.490779     5.004921  -1.71380720 
    9.539000   145.413400   -30.209266     2.574421    -4.997879   2.66799280 
    9.540000   150.145400   -24.691266     5.076021    -9.374879   3.60699280 
    9.541000   155.822400   -30.209266     6.952321    -5.310879  -7.34760720 
    9.542000   152.983400   -24.691266     9.141221    -0.933879 -17.36310720 
    9.543000   147.306400   -19.173266     7.577721    -3.122879 -23.30990720 
    9.544000   144.467400   -19.173266     8.828521    -3.747879 -17.67610720 
    9.545000   139.736400   -19.173266     7.265021    -0.621879  -4.84370720 
    9.546000   141.628400   -15.495266    -0.865379     4.067121  -0.14890720 
    9.547000   144.467400   -21.013266    -7.119479     7.505721  -5.15670720 
    9.548000   144.467400   -28.370266     0.072721     9.068721  -9.22550720 
    9.549000   145.413400   -33.888266    15.082621     4.379721 -14.85930720 
    9.550000   143.521400   -32.049266    14.457221     4.067121 -17.36310720 
    9.551000   135.951400   -30.209266    -1.178079    10.319121 -20.80600720 
    9.552000   130.273400   -26.531266    -6.806779    10.006521 -17.67610720 
    9.553000   135.005400   -19.173266   -13.060879     3.129421 -10.79040720 
    9.554000   140.682400   -19.173266   -21.816679     2.191621  -5.15670720 
    9.555000   142.575400   -22.852266   -16.813379     1.253821  -6.09560720 
    9.556000   133.112400   -24.691266    -5.243279    -1.559879  -6.09560720 
    9.557000   133.112400   -26.531266     0.072721    -2.184879  -1.71380720 
    9.558000   131.220400   -26.531266    -0.865379    -1.871879  -2.96580720 
    9.559000   126.488400   -26.531266     3.825221     2.504221   3.91999280 
    9.560000   116.080400   -21.013266    -0.865379     5.630121   8.61479280 
    9.561000   109.456200   -22.852266    -4.305179     5.317521   7.04979280 
    9.562000   111.348400   -21.013266    -6.181379     0.941221   5.48489280 
    9.563000   106.617400   -22.852266   -11.184679    -2.809879   7.98879280 
    9.564000   103.778700   -15.495266    -6.181379     6.567921   9.55369280 
    9.565000   103.778700   -11.816266    -0.865379    16.258421   5.48489280 
    9.566000   107.563700   -13.655266     1.636321    14.695421  -0.46190720 
    9.567000   106.617400   -21.013266    -3.679679     2.816821  -2.96580720 
